"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\App.css", "CSS", 0, 0, 31, 0, 0, 0, 8, 39
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\App.js", "JavaScript", 106, 0, 0, 0, 0, 0, 3, 109
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\__tests__\BacklogPreviewComponent.test.js", "JavaScript", 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\__tests__\FooterComponent.test.js", "JavaScript", 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\__tests__\GamePreviewComponent.test.js", "JavaScript", 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\__tests__\HighestRatedComponent.test.js", "JavaScript", 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\__tests__\ProfileComponent.test.js", "JavaScript", 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\__tests__\RecentReviewsComponent.test.js", "JavaScript", 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\__tests__\RecommendedComponent.test.js", "JavaScript", 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\__tests__\TagComponent.test.js", "JavaScript", 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\assets\Leaderboard_Logos\logo_black_favicon_package\browserconfig.xml", "XML", 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\assets\Leaderboard_Logos\logo_black_favicon_package\safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 71, 0, 1, 72
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\assets\Leaderboard_Logos\logo_black_favicon_package\site.webmanifest", "JSON", 0, 0, 0, 19, 0, 0, 1, 20
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\assets\Leaderboard_Logos\logo_black_purple_favicon_package\browserconfig.xml", "XML", 0, 0, 0, 0, 9, 0, 1, 10
